indicatorId,geoUnit,year,value,qualifier,magnitude
CR.1,SDG: Sub-Saharan Africa,2000,46.29999923706055,,
CR.1,SDG: Sub-Saharan Africa,2001,47,,
CR.1,SDG: Sub-Saharan Africa,2002,47.59999847412109,,
CR.1,SDG: Sub-Saharan Africa,2003,48.40000152587891,,
CR.1,SDG: Sub-Saharan Africa,2004,49.20000076293945,,
CR.1,SDG: Sub-Saharan Africa,2005,50.20000076293945,,
CR.1,SDG: Sub-Saharan Africa,2006,51.20000076293945,,
CR.1,SDG: Sub-Saharan Africa,2007,52.20000076293945,,
CR.1,SDG: Sub-Saharan Africa,2008,53.09999847412109,,
CR.1,SDG: Sub-Saharan Africa,2009,54.09999847412109,,
CR.1,SDG: Sub-Saharan Africa,2010,55,,
CR.1,SDG: Sub-Saharan Africa,2011,55.90000152587891,,
CR.1,SDG: Sub-Saharan Africa,2012,56.79999923706055,,
CR.1,SDG: Sub-Saharan Africa,2013,57.70000076293945,,
CR.1,SDG: Sub-Saharan Africa,2014,58.5,,
CR.1,SDG: Sub-Saharan Africa,2015,59.29999923706055,,
CR.1,SDG: Sub-Saharan Africa,2016,60.20000076293945,,
CR.1,SDG: Sub-Saharan Africa,2017,61,,
CR.1,SDG: Sub-Saharan Africa,2018,61.90000152587891,,
CR.1,SDG: Sub-Saharan Africa,2019,62.79999923706055,,
CR.1,SDG: Sub-Saharan Africa,2020,63.70000076293945,,
CR.1,SDG: Sub-Saharan Africa,2021,64.69999694824219,,
CR.1,SDG: Sub-Saharan Africa,2022,65.69999694824219,,
CR.1,SDG: Sub-Saharan Africa,2023,66.5999984741211,,
CR.1,SDG: Sub-Saharan Africa,2024,67.5,,
CR.1,SDG: Sub-Saharan Africa,2025,68.30000305175781,,